date,category,amount,description
14-04-2023,travelling,180,Bus fare
13-01-2023,dailyneeds,180,Electricity bill
28-03-2023,dailyneeds,190,Water bill
20-03-2023,utilities,145,Gas bill
26-02-2023,dailyneeds,55,Electricity bill
06-01-2023,entertainment,190,Movie tickets
10-03-2023,food,70,Grocery shopping
07-04-2023,food,90,Grocery shopping
22-02-2023,food,50,Grocery shopping
12-03-2023,healthcare,115,Doctor's visit
14-03-2023,healthcare,200,Dentist's visit
28-03-2023,healthcare,40,Doctor's visit
25-02-2023,healthcare,170,Doctor
11-01-2023,entertainment,15,Movie tickets
16-02-2023,entertainment,85,Concert tickets
25-03-2023,entertainment,45,Movie tickets
20-02-2023,food,195,Grocery shopping
09-03-2023,food,190,Grocery shopping
17-03-2023,food,20,Grocery shopping
03-02-2023,travelling,130,Taxi fare
06-02-2023,travelling,120,Taxi fare
20-03-2023,travelling,35,Taxi fare
15-03-2023,entertainment,130,Dinner with friends
02-04-2023,entertainment,180,Movie tickets
10-04-2023,entertainment,115,Dinner with friends
04-01-2023,food,180,Grocery shopping
02-03-2023,food,200,Grocery shopping
31-03-2023,food,155,Grocery shopping
08-02-2023,food,20,Grocery shopping
08-01-2023,food,190,Grocery shopping
23-02-2023,travelling,185,Bus fare
31-03-2023,entertainment,10,Concert tickets
02-02-2023,entertainment,60,Movie tickets
28-02-2023,food,80,Grocery shopping
05-01-2023,food,95,Grocery shopping
04-01-2023,food,35,Grocery shopping
30-03-2023,travelling,170,Taxi fare
14-01-2023,travelling,130,Taxi fare
05-03-2023,travelling,30,Taxi fare
13-03-2023,entertainment,35,Dinner with friends
15-03-2023,entertainment,55,Movie tickets
18-02-2023,entertainment,195,Dinner with friends
13-02-2023,food,185,Grocery shopping
19-02-2023,food,65,Grocery shopping
08-04-2023,food,185,Grocery shopping
02-04-2023,food,175,Grocery shopping
11-03-2023,food,60,Grocery shopping
24-01-2023,travelling,115,Bus fare
17-02-2023,food,180,Grocery shopping
04-01-2023,entertainment,45,Concert tickets
22-01-2023,travelling,125,Taxi fare
27-02-2023,food,5,Grocery shopping
25-02-2023,entertainment,80,Dinner with friends
03-03-2023,travelling,185,Bus fare
25-02-2023,travelling,75,Bus fare
16-02-2023,travelling,10,Bus fare
07-01-2023,travelling,100,Bus fare
06-04-2023,dailyneeds,165,Electricity bill
03-03-2023,dailyneeds,200,Water bill
03-01-2023,utilities,155,Gas bill
17-03-2023,dailyneeds,5,Electricity bill
10-01-2023,entertainment,145,Movie tickets
16-02-2023,food,150,Grocery shopping
11-01-2023,food,160,Grocery shopping
28-01-2023,food,140,Grocery shopping
13-02-2023,healthcare,60,Doctor's visit
23-03-2023,healthcare,25,Dentist's visit
03-04-2023,healthcare,65,Doctor's visit
08-01-2023,healthcare,155,Doctor
12-04-2023,entertainment,85,Movie tickets
22-03-2023,entertainment,155,Concert tickets
08-04-2023,entertainment,95,Movie tickets
21-02-2023,food,190,Grocery shopping
19-02-2023,food,170,Grocery shopping
23-02-2023,food,145,Grocery shopping
15-03-2023,travelling,85,Taxi fare
28-03-2023,travelling,185,Taxi fare
05-04-2023,travelling,130,Taxi fare
18-01-2023,entertainment,120,Dinner with friends
05-03-2023,entertainment,10,Movie tickets
27-01-2023,entertainment,160,Dinner with friends
22-02-2023,food,140,Grocery shopping
19-03-2023,food,105,Grocery shopping
27-03-2023,food,10,Grocery shopping
28-02-2023,food,130,Grocery shopping
19-01-2023,food,90,Grocery shopping
10-02-2023,travelling,85,Bus fare
02-01-2023,healthcare,180,Dentist's visit
28-01-2023,healthcare,150,Doctor's visit
23-03-2023,healthcare,30,Doctor
14-02-2023,entertainment,55,Movie tickets
14-02-2023,entertainment,30,Concert tickets
30-01-2023,entertainment,50,Movie tickets
24-03-2023,food,80,Grocery shopping
25-01-2023,food,55,Grocery shopping
26-03-2023,food,110,Grocery shopping
25-03-2023,travelling,50,Taxi fare
08-03-2023,travelling,80,Taxi fare
30-03-2023,travelling,25,Taxi fare
06-03-2023,entertainment,95,Dinner with friends
12-01-2023,entertainment,10,Movie tickets
22-02-2023,entertainment,195,Dinner with friends
16-01-2023,food,65,Grocery shopping
26-02-2023,food,80,Grocery shopping
13-03-2023,food,170,Grocery shopping
27-01-2023,food,60,Grocery shopping
18-01-2023,food,120,Grocery shopping
26-01-2023,travelling,125,Bus fare
10-01-2023,food,5,Grocery shopping
24-01-2023,entertainment,185,Concert tickets
10-01-2023,travelling,140,Taxi fare
05-02-2023,food,200,Grocery shopping
11-02-2023,entertainment,100,Dinner with friends
16-01-2023,travelling,175,Bus fare
25-03-2023,travelling,200,Bus fare
25-03-2023,travelling,190,Bus fare
04-04-2023,travelling,5,Bus fare
01-02-2023,food,1000,Grocery shopping
30-01-2023,entertainment,50,Movie tickets
24-03-2023,food,80,Grocery shopping
25-01-2023,food,55,Grocery shopping
26-03-2023,food,110,Grocery shopping
25-03-2023,travelling,50,Taxi fare
08-03-2023,travelling,80,Taxi fare
16/04/23,foof,500,bbb
16/02/2023,foof,200,ksdw
09-02-2023,food,500,Grocery shopping
16-04-23,food,100,xyz
